 0.19236E+05 0.76067E+02 0.00000E+00    30001     1648    4     1643 0.854E-01 0.66817E-01  0.19236E+05
   2    0.19424E+05    0.44076E+03    0.14351E+01    0.21307E+06    0.19424E+05
   3    0.19177E+05    0.17438E+03    0.81329E+00    0.97351E+05    0.19177E+05
   4    0.19243E+05    0.86132E+02    0.56617E+00    0.64923E+05    0.19243E+05
