 0.17970E+06 0.53290E+03 0.00000E+00    62001     3332    5     3327 0.185E-01 0.31204E+00  0.17970E+06
   3    0.18158E+06    0.23568E+04    0.11609E+01    0.23348E+07    0.18158E+06
   4    0.17915E+06    0.11210E+04    0.79152E+00    0.13629E+07    0.17915E+06
   5    0.17973E+06    0.62675E+03    0.62379E+00    0.10952E+07    0.17973E+06
