 0.18002E+06 0.51910E+03 0.00000E+00    62001     3307    5     3303 0.183E-01 0.31202E+00  0.18002E+06
   3    0.18123E+06    0.22234E+04    0.10973E+01    0.19572E+07    0.18123E+06
   4    0.18065E+06    0.10950E+04    0.76671E+00    0.11815E+07    0.18065E+06
   5    0.17973E+06    0.61144E+03    0.60858E+00    0.88210E+06    0.17973E+06
