 0.17985E+06 0.57686E+03 0.00000E+00    62001     3303    5     3298 0.183E-01 0.31305E+00  0.17985E+06
   3    0.17742E+06    0.22238E+04    0.11211E+01    0.18904E+07    0.17742E+06
   4    0.17896E+06    0.10914E+04    0.77139E+00    0.11956E+07    0.17896E+06
   5    0.18032E+06    0.62051E+03    0.61558E+00    0.10081E+07    0.18032E+06
