 0.19110E+05 0.10533E+03 0.00000E+00    30001     1714    4     1709 0.894E-01 0.66599E-01  0.19110E+05
   2    0.19155E+05    0.42401E+03    0.14000E+01    0.25659E+06    0.19155E+05
   3    0.18798E+05    0.17364E+03    0.82623E+00    0.10666E+06    0.18798E+05
   4    0.19180E+05    0.84944E+02    0.56019E+00    0.58389E+05    0.19180E+05
