 0.28827E+06 0.75400E+03 0.00000E+00    62001     3403    5     3398 0.118E-01 0.50108E+00  0.28827E+06
   3    0.28706E+06    0.22651E+04    0.70576E+00    0.10325E+07    0.28706E+06
   4    0.28797E+06    0.14336E+04    0.62969E+00    0.11938E+07    0.28797E+06
   5    0.28862E+06    0.96337E+03    0.59709E+00    0.26868E+07    0.28862E+06
