 0.28947E+06 0.74551E+03 0.00000E+00    62001     3455    5     3451 0.119E-01 0.50340E+00  0.28947E+06
   3    0.28872E+06    0.22398E+04    0.69387E+00    0.87915E+06    0.28872E+06
   4    0.28870E+06    0.14019E+04    0.61424E+00    0.13952E+07    0.28870E+06
   5    0.28996E+06    0.95733E+03    0.59061E+00    0.15942E+07    0.28996E+06
