 0.17916E+06 0.51531E+03 0.00000E+00    62001     3281    5     3277 0.183E-01 0.31160E+00  0.17916E+06
   3    0.17894E+06    0.22638E+04    0.11316E+01    0.17593E+07    0.17894E+06
   4    0.17821E+06    0.10754E+04    0.76335E+00    0.11344E+07    0.17821E+06
   5    0.17948E+06    0.60788E+03    0.60586E+00    0.11970E+07    0.17948E+06
