 0.17963E+06 0.72926E+03 0.00000E+00    62001     3370    5     3365 0.187E-01 0.31290E+00  0.17963E+06
   3    0.17678E+06    0.22824E+04    0.11548E+01    0.18337E+07    0.17678E+06
   4    0.17838E+06    0.11169E+04    0.79197E+00    0.10931E+07    0.17838E+06
   5    0.18023E+06    0.63179E+03    0.62706E+00    0.16176E+07    0.18023E+06
