 0.28872E+06 0.74340E+03 0.00000E+00    62001     3451    5     3446 0.119E-01 0.50169E+00  0.28872E+06
   3    0.28837E+06    0.22467E+04    0.69685E+00    0.10385E+07    0.28837E+06
   4    0.28830E+06    0.14182E+04    0.62225E+00    0.32587E+07    0.28830E+06
   5    0.28897E+06    0.94737E+03    0.58646E+00    0.16040E+07    0.28897E+06
