 0.18001E+06 0.54422E+03 0.00000E+00    62001     3265    5     3261 0.181E-01 0.31209E+00  0.18001E+06
   3    0.18105E+06    0.24158E+04    0.11935E+01    0.21079E+07    0.18105E+06
   4    0.18060E+06    0.11683E+04    0.81831E+00    0.15584E+07    0.18060E+06
   5    0.17976E+06    0.63597E+03    0.63287E+00    0.93061E+06    0.17976E+06
