 0.28936E+06 0.74980E+03 0.00000E+00    62001     3406    5     3401 0.118E-01 0.50322E+00  0.28936E+06
   3    0.28747E+06    0.22188E+04    0.69034E+00    0.83004E+06    0.28747E+06
   4    0.28906E+06    0.14145E+04    0.61897E+00    0.15283E+07    0.28906E+06
   5    0.28985E+06    0.96412E+03    0.59501E+00    0.15412E+07    0.28985E+06
