 0.28764E+06 0.90552E+03 0.00000E+00    62001     3411    5     3406 0.118E-01 0.50073E+00  0.28764E+06
   3    0.28434E+06    0.22529E+04    0.70869E+00    0.10032E+07    0.28434E+06
   4    0.28718E+06    0.14315E+04    0.63049E+00    0.17973E+07    0.28718E+06
   5    0.28842E+06    0.95410E+03    0.59175E+00    0.17165E+07    0.28842E+06
