 0.19290E+05 0.13185E+03 0.00000E+00    30001     1602    4     1597 0.828E-01 0.66671E-01  0.19290E+05
   2    0.20110E+05    0.47109E+03    0.14816E+01    0.27002E+06    0.20110E+05
   3    0.19524E+05    0.18013E+03    0.82520E+00    0.98030E+05    0.19524E+05
   4    0.19201E+05    0.87829E+02    0.57859E+00    0.58119E+05    0.19201E+05
