 0.18002E+06 0.51538E+03 0.00000E+00    62001     3345    5     3340 0.186E-01 0.31326E+00  0.18002E+06
   3    0.17875E+06    0.21289E+04    0.10652E+01    0.16965E+07    0.17875E+06
   4    0.17907E+06    0.10569E+04    0.74659E+00    0.96928E+06    0.17907E+06
   5    0.18044E+06    0.61440E+03    0.60911E+00    0.13928E+07    0.18044E+06
