 0.28867E+06 0.74778E+03 0.00000E+00    62001     3433    5     3428 0.119E-01 0.50123E+00  0.28867E+06
   3    0.28736E+06    0.22468E+04    0.69931E+00    0.90360E+06    0.28736E+06
   4    0.28911E+06    0.14214E+04    0.62188E+00    0.11183E+07    0.28911E+06
   5    0.28871E+06    0.95550E+03    0.59203E+00    0.11014E+07    0.28871E+06
