 0.19095E+05 0.76852E+02 0.00000E+00    30001     1613    4     1608 0.842E-01 0.66316E-01  0.19095E+05
   2    0.19587E+05    0.43670E+03    0.14101E+01    0.22773E+06    0.19587E+05
   3    0.18988E+05    0.18077E+03    0.85155E+00    0.10378E+06    0.18988E+05
   4    0.19099E+05    0.86555E+02    0.57324E+00    0.86802E+05    0.19099E+05
