 0.28980E+06 0.74614E+03 0.00000E+00    62001     3372    5     3367 0.116E-01 0.50279E+00  0.28980E+06
   3    0.28799E+06    0.22217E+04    0.69001E+00    0.12128E+07    0.28799E+06
   4    0.29097E+06    0.14290E+04    0.62122E+00    0.15404E+07    0.29097E+06
   5    0.28961E+06    0.95174E+03    0.58788E+00    0.22938E+07    0.28961E+06
