 0.28834E+06 0.74605E+03 0.00000E+00    62001     3407    5     3402 0.118E-01 0.49946E+00  0.28834E+06
   3    0.28884E+06    0.22521E+04    0.69737E+00    0.83535E+06    0.28884E+06
   4    0.28953E+06    0.14033E+04    0.61308E+00    0.14261E+07    0.28953E+06
   5    0.28769E+06    0.95707E+03    0.59510E+00    0.13260E+07    0.28769E+06
