 0.17935E+06 0.52230E+03 0.00000E+00    62001     3273    5     3268 0.182E-01 0.31100E+00  0.17935E+06
   3    0.18072E+06    0.23495E+04    0.11628E+01    0.22439E+07    0.18072E+06
   4    0.17972E+06    0.11030E+04    0.77633E+00    0.11431E+07    0.17972E+06
   5    0.17913E+06    0.61283E+03    0.61198E+00    0.95019E+06    0.17913E+06
