 0.19239E+05 0.15524E+03 0.00000E+00    30001     1633    4     1628 0.846E-01 0.67184E-01  0.19239E+05
   2    0.19056E+05    0.42385E+03    0.14067E+01    0.18516E+06    0.19056E+05
   3    0.18791E+05    0.17792E+03    0.84688E+00    0.10628E+06    0.18791E+05
   4    0.19349E+05    0.87320E+02    0.57084E+00    0.65293E+05    0.19349E+05
