 0.28791E+06 0.74073E+03 0.00000E+00    62001     3387    5     3383 0.118E-01 0.49988E+00  0.28791E+06
   3    0.28880E+06    0.22425E+04    0.69452E+00    0.83194E+06    0.28880E+06
   4    0.28752E+06    0.13968E+04    0.61450E+00    0.12344E+07    0.28752E+06
   5    0.28793E+06    0.94867E+03    0.58939E+00    0.17910E+07    0.28793E+06
