 0.18012E+06 0.99971E+03 0.00000E+00    30001     1711    4     1706 0.947E-02 0.62787E+00  0.18012E+06
   2    0.17758E+06    0.55492E+04    0.19764E+01    0.46659E+07    0.17758E+06
   3    0.17756E+06    0.22965E+04    0.11568E+01    0.23933E+07    0.17756E+06
   4    0.18083E+06    0.11332E+04    0.79273E+00    0.12248E+07    0.18083E+06
